Season,Slot,StrongSeed,WeakSeed,StrongTeamName,WeakTeamName,StrongTeamSeed,WeakTeamSeed,StrongID,WeakID
1985,R1Z1,Z01,Z16,Michigan,F Dickinson,Z01,Z16,1276,1192
1985,R1Z2,Z02,Z15,North Carolina,MTSU,Z02,Z15,1314,1292
1985,R1Z3,Z03,Z14,Kansas,Ohio,Z03,Z14,1242,1325
1985,R1Z4,Z04,Z13,LSU,Navy,Z04,Z13,1261,1298
1985,R1Z5,Z05,Z12,Maryland,Miami OH,Z05,Z12,1268,1275
1985,R1Z6,Z06,Z11,Purdue,Auburn,Z06,Z11,1345,1120
1985,R1Z7,Z07,Z10,Notre Dame,Oregon St.,Z07,Z10,1323,1333
1985,R1Z8,Z08,Z09,Villanova,Dayton,Z08,Z09,1437,1173
1985,R2W1,R1W1,R1W8,Georgetown,Temple,W01,W08,1207,1396
1985,R2W2,R1W2,R1W7,Georgia Tech,Syracuse,W02,W07,1210,1393
1985,R2W3,R1W3,R1W6,Illinois,Georgia,W03,W06,1228,1208
1985,R2W4,R1W4,R1W5,Loyola-Chicago,SMU,W04,W05,1260,1374
1985,R2X1,R1X1,R1X8,St. John's,Arkansas,X01,X09,1385,1116
1985,R2X2,R1X2,R1X7,VCU,Alabama,X02,X07,1433,1104
1985,R2X3,R1X3,R1X6,NC State,UTEP,X03,X11,1301,1431
1985,R2X4,R1X4,R1X5,UNLV,Kentucky,X04,X12,1424,1246
1985,R2Y1,R1Y1,R1Y8,Oklahoma,Illinois St.,Y01,Y09,1328,1229
1985,R2Y2,R1Y2,R1Y7,Memphis,UAB,Y02,Y07,1272,1412
1985,R2Y3,R1Y3,R1Y6,Duke,Boston College,Y03,Y11,1181,1130
1985,R2Y4,R1Y4,R1Y5,Ohio St.,Louisiana Tech,Y04,Y05,1326,1256
1985,R2Z1,R1Z1,R1Z8,Michigan,Villanova,Z01,Z08,1276,1437
1985,R2Z2,R1Z2,R1Z7,North Carolina,Notre Dame,Z02,Z07,1314,1323
1985,R2Z3,R1Z3,R1Z6,Kansas,Auburn,Z03,Z11,1242,1120
1985,R2Z4,R1Z4,R1Z5,Maryland,Navy,Z05,Z13,1268,1298
1985,R3W1,R2W1,R2W4,Georgetown,Loyola-Chicago,W01,W04,1207,1260
1985,R3W2,R2W2,R2W3,Georgia Tech,Illinois,W02,W03,1210,1228
1985,R3X1,R2X1,R2X4,St. John's,Kentucky,X01,X12,1385,1246
1985,R3X2,R2X2,R2X3,NC State,Alabama,X03,X07,1301,1104
1985,R3Y1,R2Y1,R2Y4,Oklahoma,Louisiana Tech,Y01,Y05,1328,1256
1985,R3Y2,R2Y2,R2Y3,Memphis,Boston College,Y02,Y11,1272,1130
1985,R3Z1,R2Z1,R2Z4,Maryland,Villanova,Z05,Z08,1268,1437
1985,R3Z2,R2Z2,R2Z3,North Carolina,Auburn,Z02,Z11,1314,1120
1985,R4W1,R3W1,R3W2,Georgetown,Georgia Tech,W01,W02,1207,1210
1985,R4X1,R3X1,R3X2,St. John's,NC State,X01,X03,1385,1301
1985,R4Y1,R3Y1,R3Y2,Oklahoma,Memphis,Y01,Y02,1328,1272
1985,R4Z1,R3Z1,R3Z2,North Carolina,Villanova,Z02,Z08,1314,1437
1985,R5WX,R4W1,R4X1,Georgetown,St. John's,W01,X01,1207,1385
1985,R5YZ,R4Y1,R4Z1,Memphis,Villanova,Y02,Z08,1272,1437
1985,R6CH,R5WX,R5YZ,Georgetown,Villanova,W01,Z08,1207,1437
1986,R1W1,W01,W16,Duke,MS Valley St.,W01,W16,1181,1290
1986,R1W2,W02,W15,Syracuse,Brown,W02,W15,1393,1135
1986,R1W3,W03,W14,Indiana,Cleveland St.,W03,W14,1231,1156
1986,R1W4,W04,W13,Oklahoma,Northeastern,W04,W13,1328,1318
1986,R1W5,W05,W12,Virginia,DePaul,W05,W12,1438,1177
1986,R1W6,W06,W11,Saint Joseph's,Richmond,W06,W11,1386,1350
1986,R1W7,W07,W10,Navy,Tulsa,W07,W10,1298,1409
1986,R1W8,W08,W09,Old Dominion,West Virginia,W08,W09,1330,1452
1986,R1X1,X01,X16,Kansas,NC A&T,X01,X16,1242,1299
1986,R1X2,X02,X15,Michigan,Akron,X02,X15,1276,1103
1986,R1X3,X03,X14,Notre Dame,Ark Little Rock,X03,X14,1323,1114
1986,R1X4,X04,X13,Georgetown,Texas Tech,X04,X13,1207,1403
1986,R1X5,X05,X12,Michigan St.,Washington,X05,X12,1277,1449
1986,R1X6,X06,X11,NC State,Iowa,X06,X11,1301,1234
1986,R1X7,X07,X10,Iowa St.,Miami OH,X07,X10,1235,1275
1986,R1X8,X08,X09,Jacksonville,Temple,X08,X09,1239,1396
1986,R1Y1,Y01,Y16,Kentucky,Davidson,Y01,Y16,1246,1172
1986,R1Y2,Y02,Y15,Georgia Tech,Marist,Y02,Y15,1210,1265
1986,R1Y3,Y03,Y14,Memphis,Ball St.,Y03,Y14,1272,1123
1986,R1Y4,Y04,Y13,Illinois,Fairfield,Y04,Y13,1228,1193
1986,R1Y5,Y05,Y12,Alabama,Xavier,Y05,Y12,1104,1462
1986,R1Y6,Y06,Y11,Purdue,LSU,Y06,Y11,1345,1261
1986,R1Y7,Y07,Y10,Virginia Tech,Villanova,Y07,Y10,1439,1437
1986,R1Y8,Y08,Y09,WKU,Nebraska,Y08,Y09,1443,1304
1986,R1Z1,Z01,Z16,St. John's,Montana St.,Z01,Z16,1385,1286
1986,R1Z2,Z02,Z15,Louisville,Drexel,Z02,Z15,1257,1180
1986,R1Z3,Z03,Z14,North Carolina,Utah,Z03,Z14,1314,1428
1986,R1Z4,Z04,Z13,UNLV,ULM,Z04,Z13,1424,1419
1986,R1Z5,Z05,Z12,Maryland,Pepperdine,Z05,Z12,1268,1337
1986,R1Z6,Z06,Z11,UAB,Missouri,Z06,Z11,1412,1281
1986,R1Z7,Z07,Z10,Bradley,UTEP,Z07,Z10,1133,1431
1986,R1Z8,Z08,Z09,Auburn,Arizona,Z08,Z09,1120,1112
1986,R2W1,R1W1,R1W8,Duke,Old Dominion,W01,W08,1181,1330
1986,R2W2,R1W2,R1W7,Syracuse,Navy,W02,W07,1393,1298
1986,R2W3,R1W3,R1W6,Saint Joseph's,Cleveland St.,W06,W14,1386,1156
1986,R2W4,R1W4,R1W5,Oklahoma,DePaul,W04,W12,1328,1177
1986,R2X1,R1X1,R1X8,Kansas,Temple,X01,X09,1242,1396
1986,R2X2,R1X2,R1X7,Michigan,Iowa St.,X02,X07,1276,1235
1986,R2X3,R1X3,R1X6,NC State,Ark Little Rock,X06,X14,1301,1114
1986,R2X4,R1X4,R1X5,Georgetown,Michigan St.,X04,X05,1207,1277
1986,R2Y1,R1Y1,R1Y8,Kentucky,WKU,Y01,Y08,1246,1443
1986,R2Y2,R1Y2,R1Y7,Georgia Tech,Villanova,Y02,Y10,1210,1437
1986,R2Y3,R1Y3,R1Y6,Memphis,LSU,Y03,Y11,1272,1261
1986,R2Y4,R1Y4,R1Y5,Illinois,Alabama,Y04,Y05,1228,1104
1986,R2Z1,R1Z1,R1Z8,St. John's,Auburn,Z01,Z08,1385,1120
1986,R2Z2,R1Z2,R1Z7,Louisville,Bradley,Z02,Z07,1257,1133
1986,R2Z3,R1Z3,R1Z6,North Carolina,UAB,Z03,Z06,1314,1412
1986,R2Z4,R1Z4,R1Z5,UNLV,Maryland,Z04,Z05,1424,1268
1986,R3W1,R2W1,R2W4,Duke,DePaul,W01,W12,1181,1177
1986,R3W2,R2W2,R2W3,Navy,Cleveland St.,W07,W14,1298,1156
1986,R3X1,R2X1,R2X4,Kansas,Michigan St.,X01,X05,1242,1277
1986,R3X2,R2X2,R2X3,NC State,Iowa St.,X06,X07,1301,1235
1986,R3Y1,R2Y1,R2Y4,Kentucky,Alabama,Y01,Y05,1246,1104
1986,R3Y2,R2Y2,R2Y3,Georgia Tech,LSU,Y02,Y11,1210,1261
1986,R3Z1,R2Z1,R2Z4,UNLV,Auburn,Z04,Z08,1424,1120
1986,R3Z2,R2Z2,R2Z3,Louisville,North Carolina,Z02,Z03,1257,1314
1986,R4W1,R3W1,R3W2,Duke,Navy,W01,W07,1181,1298
1986,R4X1,R3X1,R3X2,Kansas,NC State,X01,X06,1242,1301
1986,R4Y1,R3Y1,R3Y2,Kentucky,LSU,Y01,Y11,1246,1261
1986,R4Z1,R3Z1,R3Z2,Louisville,Auburn,Z02,Z08,1257,1120
1986,R5WX,R4W1,R4X1,Duke,Kansas,W01,X01,1181,1242
1986,R5YZ,R4Y1,R4Z1,Louisville,LSU,Z02,Y11,1257,1261
1986,R6CH,R5WX,R5YZ,Duke,Louisville,W01,Z02,1181,1257
1987,R1W1,W01,W16,North Carolina,Penn,W01,W16,1314,1335
1987,R1W2,W02,W15,Syracuse,Ga Southern,W02,W15,1393,1204
1987,R1W3,W03,W14,Purdue,Northeastern,W03,W14,1345,1318
1987,R1W4,W04,W13,TCU,Marshall,W04,W13,1395,1267
1987,R1W5,W05,W12,Notre Dame,MTSU,W05,W12,1323,1292
1987,R1W6,W06,W11,Florida,NC State,W06,W11,1196,1301
1987,R1W7,W07,W10,West Virginia,WKU,W07,W10,1452,1443
1987,R1W8,W08,W09,Navy,Michigan,W08,W09,1298,1276
1987,R1X1,X01,X16,Georgetown,Bucknell,X01,X16,1207,1137
1987,R1X2,X02,X15,Alabama,NC A&T,X02,X15,1104,1299
1987,R1X3,X03,X14,Illinois,Austin Peay,X03,X14,1228,1122
1987,R1X4,X04,X13,Clemson,Missouri St.,X04,X13,1155,1283
1987,R1X5,X05,X12,Kansas,Houston,X05,X12,1242,1222
1987,R1X6,X06,X11,Providence,UAB,X06,X11,1344,1412
1987,R1X7,X07,X10,New Orleans,BYU,X07,X10,1309,1140
1987,R1X8,X08,X09,Kentucky,Ohio St.,X08,X09,1246,1326
1987,R1Y1,Y01,Y16,Indiana,Fairfield,Y01,Y16,1231,1193
1987,R1Y2,Y02,Y15,Temple,Southern Univ,Y02,Y15,1396,1380
1987,R1Y3,Y03,Y14,DePaul,Louisiana Tech,Y03,Y14,1177,1256
1987,R1Y4,Y04,Y13,Missouri,Xavier,Y04,Y13,1281,1462
1987,R1Y5,Y05,Y12,Duke,Texas A&M,Y05,Y12,1181,1401
1987,R1Y6,Y06,Y11,St. John's,Wichita St.,Y06,Y11,1385,1455
1987,R1Y7,Y07,Y10,Georgia Tech,LSU,Y07,Y10,1210,1261
1987,R1Y8,Y08,Y09,Auburn,San Diego,Y08,Y09,1120,1360
1987,R1Z1,Z01,Z16,UNLV,Idaho St.,Z01,Z16,1424,1226
1987,R1Z2,Z02,Z15,Iowa,Santa Clara,Z02,Z15,1234,1365
1987,R1Z3,Z03,Z14,Pittsburgh,Marist,Z03,Z14,1338,1265
1987,R1Z4,Z04,Z13,UCLA,C Michigan,Z04,Z13,1417,1141
1987,R1Z5,Z05,Z12,Virginia,Wyoming,Z05,Z12,1438,1461
1987,R1Z6,Z06,Z11,Oklahoma,Tulsa,Z06,Z11,1328,1409
1987,R1Z7,Z07,Z10,UTEP,Arizona,Z07,Z10,1431,1112
1987,R1Z8,Z08,Z09,Georgia,Kansas St.,Z08,Z09,1208,1243
1987,R2W1,R1W1,R1W8,North Carolina,Michigan,W01,W09,1314,1276
1987,R2W2,R1W2,R1W7,Syracuse,WKU,W02,W10,1393,1443
1987,R2W3,R1W3,R1W6,Purdue,Florida,W03,W06,1345,1196
1987,R2W4,R1W4,R1W5,TCU,Notre Dame,W04,W05,1395,1323
1987,R2X1,R1X1,R1X8,Georgetown,Ohio St.,X01,X09,1207,1326
1987,R2X2,R1X2,R1X7,Alabama,New Orleans,X02,X07,1104,1309
1987,R2X3,R1X3,R1X6,Providence,Austin Peay,X06,X14,1344,1122
1987,R2X4,R1X4,R1X5,Kansas,Missouri St.,X05,X13,1242,1283
1987,R2Y1,R1Y1,R1Y8,Indiana,Auburn,Y01,Y08,1231,1120
1987,R2Y2,R1Y2,R1Y7,Temple,LSU,Y02,Y10,1396,1261
1987,R2Y3,R1Y3,R1Y6,DePaul,St. John's,Y03,Y06,1177,1385
1987,R2Y4,R1Y4,R1Y5,Duke,Xavier,Y05,Y13,1181,1462
1987,R2Z1,R1Z1,R1Z8,UNLV,Kansas St.,Z01,Z09,1424,1243
1987,R2Z2,R1Z2,R1Z7,Iowa,UTEP,Z02,Z07,1234,1431
1987,R2Z3,R1Z3,R1Z6,Pittsburgh,Oklahoma,Z03,Z06,1338,1328
1987,R2Z4,R1Z4,R1Z5,UCLA,Wyoming,Z04,Z12,1417,1461
1987,R3W1,R2W1,R2W4,North Carolina,Notre Dame,W01,W05,1314,1323
1987,R3W2,R2W2,R2W3,Syracuse,Florida,W02,W06,1393,1196
1987,R3X1,R2X1,R2X4,Georgetown,Kansas,X01,X05,1207,1242
1987,R3X2,R2X2,R2X3,Alabama,Providence,X02,X06,1104,1344
1987,R3Y1,R2Y1,R2Y4,Indiana,Duke,Y01,Y05,1231,1181
1987,R3Y2,R2Y2,R2Y3,DePaul,LSU,Y03,Y10,1177,1261
1987,R3Z1,R2Z1,R2Z4,UNLV,Wyoming,Z01,Z12,1424,1461
1987,R3Z2,R2Z2,R2Z3,Iowa,Oklahoma,Z02,Z06,1234,1328
1987,R4W1,R3W1,R3W2,North Carolina,Syracuse,W01,W02,1314,1393
1987,R4X1,R3X1,R3X2,Georgetown,Providence,X01,X06,1207,1344
1987,R4Y1,R3Y1,R3Y2,Indiana,LSU,Y01,Y10,1231,1261
1987,R4Z1,R3Z1,R3Z2,UNLV,Iowa,Z01,Z02,1424,1234
1987,R5WX,R4W1,R4X1,Syracuse,Providence,W02,X06,1393,1344
1987,R5YZ,R4Y1,R4Z1,Indiana,UNLV,Y01,Z01,1231,1424
1987,R6CH,R5WX,R5YZ,Indiana,Syracuse,Y01,W02,1231,1393
1988,R1W1,W01,W16,Temple,Lehigh,W01,W16,1396,1250
1988,R1W2,W02,W15,Duke,Boston Univ,W02,W15,1181,1131
1988,R1W3,W03,W14,Syracuse,NC A&T,W03,W14,1393,1299
1988,R1W4,W04,W13,Indiana,Richmond,W04,W13,1231,1350
1988,R1W5,W05,W12,Georgia Tech,Iowa St.,W05,W12,1210,1235
1988,R1W6,W06,W11,Missouri,Rhode Island,W06,W11,1281,1348
1988,R1W7,W07,W10,SMU,Notre Dame,W07,W10,1374,1323
1988,R1W8,W08,W09,Georgetown,LSU,W08,W09,1207,1261
1988,R1X1,X01,X16,Purdue,F Dickinson,X01,X16,1345,1192
1988,R1X2,X02,X15,Pittsburgh,E Michigan,X02,X15,1338,1185
1988,R1X3,X03,X14,NC State,Murray St.,X03,X14,1301,1293
1988,R1X4,X04,X13,Kansas St.,La Salle,X04,X13,1243,1247
1988,R1X5,X05,X12,DePaul,Wichita St.,X05,X12,1177,1455
1988,R1X6,X06,X11,Kansas,Xavier,X06,X11,1242,1462
1988,R1X7,X07,X10,Vanderbilt,Utah St.,X07,X10,1435,1429
1988,R1X8,X08,X09,Baylor,Memphis,X08,X09,1124,1272
1988,R1Y1,Y01,Y16,Oklahoma,Chattanooga,Y01,Y16,1328,1151
1988,R1Y2,Y02,Y15,Kentucky,Southern Univ,Y02,Y15,1246,1380
1988,R1Y3,Y03,Y14,Illinois,UT San Antonio,Y03,Y14,1228,1427
1988,R1Y4,Y04,Y13,BYU,Charlotte,Y04,Y13,1140,1150
1988,R1Y5,Y05,Y12,Louisville,Oregon St.,Y05,Y12,1257,1333
1988,R1Y6,Y06,Y11,Villanova,Arkansas,Y06,Y11,1437,1116
1988,R1Y7,Y07,Y10,Maryland,UC Santa Barbara,Y07,Y10,1268,1364
1988,R1Y8,Y08,Y09,Auburn,Bradley,Y08,Y09,1120,1133
1988,R1Z1,Z01,Z16,Arizona,Cornell,Z01,Z16,1112,1165
1988,R1Z2,Z02,Z15,North Carolina,North Texas,Z02,Z15,1314,1317
1988,R1Z3,Z03,Z14,Michigan,Boise St.,Z03,Z14,1276,1129
1988,R1Z4,Z04,Z13,UNLV,Missouri St.,Z04,Z13,1424,1283
1988,R1Z5,Z05,Z12,Iowa,Florida St.,Z05,Z12,1234,1199
1988,R1Z6,Z06,Z11,Florida,St. John's,Z06,Z11,1196,1385
1988,R1Z7,Z07,Z10,Wyoming,Loy Marymount,Z07,Z10,1461,1258
1988,R1Z8,Z08,Z09,Seton Hall,UTEP,Z08,Z09,1371,1431
1988,R2W1,R1W1,R1W8,Temple,Georgetown,W01,W08,1396,1207
1988,R2W2,R1W2,R1W7,Duke,SMU,W02,W07,1181,1374
1988,R2W3,R1W3,R1W6,Syracuse,Rhode Island,W03,W11,1393,1348
1988,R2W4,R1W4,R1W5,Georgia Tech,Richmond,W05,W13,1210,1350
1988,R2X1,R1X1,R1X8,Purdue,Memphis,X01,X09,1345,1272
1988,R2X2,R1X2,R1X7,Pittsburgh,Vanderbilt,X02,X07,1338,1435
1988,R2X3,R1X3,R1X6,Kansas,Murray St.,X06,X14,1242,1293
1988,R2X4,R1X4,R1X5,Kansas St.,DePaul,X04,X05,1243,1177
1988,R2Y1,R1Y1,R1Y8,Oklahoma,Auburn,Y01,Y08,1328,1120
1988,R2Y2,R1Y2,R1Y7,Kentucky,Maryland,Y02,Y07,1246,1268
1988,R2Y3,R1Y3,R1Y6,Illinois,Villanova,Y03,Y06,1228,1437
1988,R2Y4,R1Y4,R1Y5,BYU,Louisville,Y04,Y05,1140,1257
1988,R2Z1,R1Z1,R1Z8,Arizona,Seton Hall,Z01,Z08,1112,1371
1988,R2Z2,R1Z2,R1Z7,North Carolina,Loy Marymount,Z02,Z10,1314,1258
1988,R2Z3,R1Z3,R1Z6,Michigan,Florida,Z03,Z06,1276,1196
1988,R2Z4,R1Z4,R1Z5,UNLV,Iowa,Z04,Z05,1424,1234
1988,R3W1,R2W1,R2W4,Temple,Richmond,W01,W13,1396,1350
1988,R3W2,R2W2,R2W3,Duke,Rhode Island,W02,W11,1181,1348
1988,R3X1,R2X1,R2X4,Purdue,Kansas St.,X01,X04,1345,1243
1988,R3X2,R2X2,R2X3,Kansas,Vanderbilt,X06,X07,1242,1435
1988,R3Y1,R2Y1,R2Y4,Oklahoma,Louisville,Y01,Y05,1328,1257
1988,R3Y2,R2Y2,R2Y3,Kentucky,Villanova,Y02,Y06,1246,1437
1988,R3Z1,R2Z1,R2Z4,Arizona,Iowa,Z01,Z05,1112,1234
1988,R3Z2,R2Z2,R2Z3,North Carolina,Michigan,Z02,Z03,1314,1276
1988,R4W1,R3W1,R3W2,Temple,Duke,W01,W02,1396,1181
1988,R4X1,R3X1,R3X2,Kansas St.,Kansas,X04,X06,1243,1242
1988,R4Y1,R3Y1,R3Y2,Oklahoma,Villanova,Y01,Y06,1328,1437
1988,R4Z1,R3Z1,R3Z2,Arizona,North Carolina,Z01,Z02,1112,1314
1988,R5WX,R4W1,R4X1,Duke,Kansas,W02,X06,1181,1242
1988,R5YZ,R4Y1,R4Z1,Oklahoma,Arizona,Y01,Z01,1328,1112
1988,R6CH,R5WX,R5YZ,Oklahoma,Kansas,Y01,X06,1328,1242
1989,R1W1,W01,W16,Georgetown,Princeton,W01,W16,1207,1343
1989,R1W2,W02,W15,Duke,S Carolina St.,W02,W15,1181,1354
1989,R1W3,W03,W14,Stanford,Siena,W03,W14,1390,1373
1989,R1W4,W04,W13,Iowa,Rutgers,W04,W13,1234,1353
1989,R1W5,W05,W12,NC State,South Carolina,W05,W12,1301,1376
1989,R1W6,W06,W11,Kansas St.,Minnesota,W06,W11,1243,1278
1989,R1W7,W07,W10,West Virginia,Tennessee,W07,W10,1452,1397
1989,R1W8,W08,W09,Vanderbilt,Notre Dame,W08,W09,1435,1323
1989,R1X1,X01,X16,Arizona,Robert Morris,X01,X16,1112,1352
1989,R1X2,X02,X15,Indiana,George Mason,X02,X15,1231,1206
1989,R1X3,X03,X14,Seton Hall,Missouri St.,X03,X14,1371,1283
1989,R1X4,X04,X13,UNLV,Idaho,X04,X13,1424,1225
1989,R1X5,X05,X12,Memphis,DePaul,X05,X12,1272,1177
1989,R1X6,X06,X11,Oregon St.,Evansville,X06,X11,1333,1191
1989,R1X7,X07,X10,UTEP,LSU,X07,X10,1431,1261
1989,R1X8,X08,X09,Saint Mary's,Clemson,X08,X09,1388,1155
1989,R1Y1,Y01,Y16,Illinois,McNeese St.,Y01,Y16,1228,1270
1989,R1Y2,Y02,Y15,Syracuse,Bucknell,Y02,Y15,1393,1137
1989,R1Y3,Y03,Y14,Missouri,Creighton,Y03,Y14,1281,1166
1989,R1Y4,Y04,Y13,Louisville,Ark Little Rock,Y04,Y13,1257,1114
1989,R1Y5,Y05,Y12,Arkansas,Loy Marymount,Y05,Y12,1116,1258
1989,R1Y6,Y06,Y11,Georgia Tech,Texas,Y06,Y11,1210,1400
1989,R1Y7,Y07,Y10,Florida,Colorado St.,Y07,Y10,1196,1161
1989,R1Y8,Y08,Y09,Pittsburgh,Ball St.,Y08,Y09,1338,1123
1989,R1Z1,Z01,Z16,Oklahoma,ETSU,Z01,Z16,1328,1190
1989,R1Z2,Z02,Z15,North Carolina,Southern Univ,Z02,Z15,1314,1380
1989,R1Z3,Z03,Z14,Michigan,Xavier,Z03,Z14,1276,1462
1989,R1Z4,Z04,Z13,Florida St.,MTSU,Z04,Z13,1199,1292
1989,R1Z5,Z05,Z12,Virginia,Providence,Z05,Z12,1438,1344
1989,R1Z6,Z06,Z11,Alabama,South Alabama,Z06,Z11,1104,1375
1989,R1Z7,Z07,Z10,UCLA,Iowa St.,Z07,Z10,1417,1235
1989,R1Z8,Z08,Z09,La Salle,Louisiana Tech,Z08,Z09,1247,1256
1989,R2W1,R1W1,R1W8,Georgetown,Notre Dame,W01,W09,1207,1323
1989,R2W2,R1W2,R1W7,Duke,West Virginia,W02,W07,1181,1452
1989,R2W3,R1W3,R1W6,Minnesota,Siena,W11,W14,1278,1373
1989,R2W4,R1W4,R1W5,Iowa,NC State,W04,W05,1234,1301
1989,R2X1,R1X1,R1X8,Arizona,Clemson,X01,X09,1112,1155
1989,R2X2,R1X2,R1X7,Indiana,UTEP,X02,X07,1231,1431
1989,R2X3,R1X3,R1X6,Seton Hall,Evansville,X03,X11,1371,1191
1989,R2X4,R1X4,R1X5,UNLV,DePaul,X04,X12,1424,1177
1989,R2Y1,R1Y1,R1Y8,Illinois,Ball St.,Y01,Y09,1228,1123
1989,R2Y2,R1Y2,R1Y7,Syracuse,Colorado St.,Y02,Y10,1393,1161
1989,R2Y3,R1Y3,R1Y6,Missouri,Texas,Y03,Y11,1281,1400
1989,R2Y4,R1Y4,R1Y5,Louisville,Arkansas,Y04,Y05,1257,1116
1989,R2Z1,R1Z1,R1Z8,Oklahoma,Louisiana Tech,Z01,Z09,1328,1256
1989,R2Z2,R1Z2,R1Z7,North Carolina,UCLA,Z02,Z07,1314,1417
1989,R2Z3,R1Z3,R1Z6,Michigan,South Alabama,Z03,Z11,1276,1375
1989,R2Z4,R1Z4,R1Z5,Virginia,MTSU,Z05,Z13,1438,1292
1989,R3W1,R2W1,R2W4,Georgetown,NC State,W01,W05,1207,1301
1989,R3W2,R2W2,R2W3,Duke,Minnesota,W02,W11,1181,1278
1989,R3X1,R2X1,R2X4,Arizona,UNLV,X01,X04,1112,1424
1989,R3X2,R2X2,R2X3,Indiana,Seton Hall,X02,X03,1231,1371
1989,R3Y1,R2Y1,R2Y4,Illinois,Louisville,Y01,Y04,1228,1257
1989,R3Y2,R2Y2,R2Y3,Syracuse,Missouri,Y02,Y03,1393,1281
1989,R3Z1,R2Z1,R2Z4,Oklahoma,Virginia,Z01,Z05,1328,1438
1989,R3Z2,R2Z2,R2Z3,North Carolina,Michigan,Z02,Z03,1314,1276
1989,R4W1,R3W1,R3W2,Georgetown,Duke,W01,W02,1207,1181
1989,R4X1,R3X1,R3X2,Seton Hall,UNLV,X03,X04,1371,1424
1989,R4Y1,R3Y1,R3Y2,Illinois,Syracuse,Y01,Y02,1228,1393
1989,R4Z1,R3Z1,R3Z2,Michigan,Virginia,Z03,Z05,1276,1438
1989,R5WX,R4W1,R4X1,Duke,Seton Hall,W02,X03,1181,1371
1989,R5YZ,R4Y1,R4Z1,Illinois,Michigan,Y01,Z03,1228,1276
1989,R6CH,R5WX,R5YZ,Seton Hall,Michigan,X03,Z03,1371,1276
1990,R1W1,W01,W16,Connecticut,Boston Univ,W01,W16,1163,1131
1990,R1W2,W02,W15,Kansas,Robert Morris,W02,W15,1242,1352
1990,R1W3,W03,W14,Duke,Richmond,W03,W14,1181,1350
1990,R1W4,W04,W13,La Salle,Southern Miss,W04,W13,1247,1379
1990,R1W5,W05,W12,Clemson,BYU,W05,W12,1155,1140
1990,R1W6,W06,W11,St. John's,Temple,W06,W11,1385,1396
1990,R1W7,W07,W10,UCLA,UAB,W07,W10,1417,1412
1990,R1W8,W08,W09,Indiana,California,W08,W09,1231,1143
1990,R1X1,X01,X16,Oklahoma,Towson,X01,X16,1328,1406
1990,R1X2,X02,X15,Purdue,ULM,X02,X15,1345,1419
1990,R1X3,X03,X14,Georgetown,TX Southern,X03,X14,1207,1411
1990,R1X4,X04,X13,Arkansas,Princeton,X04,X13,1116,1343
1990,R1X5,X05,X12,Illinois,Dayton,X05,X12,1228,1173
1990,R1X6,X06,X11,Xavier,Kansas St.,X06,X11,1462,1243
1990,R1X7,X07,X10,Georgia,Texas,X07,X10,1208,1400
1990,R1X8,X08,X09,North Carolina,Missouri St.,X08,X09,1314,1283
1990,R1Y1,Y01,Y16,Michigan St.,Murray St.,Y01,Y16,1277,1293
1990,R1Y2,Y02,Y15,Syracuse,Coppin St.,Y02,Y15,1393,1164
1990,R1Y3,Y03,Y14,Missouri,Northern Iowa,Y03,Y14,1281,1320
