Season,ConfAbbrev,ConfName,DayNum,WName,WTeamID,LName,LTeamID
2001,aec,America East Conference,123,Towson,1406,Hartford,1216
2001,aec,America East Conference,123,Vermont,1436,New Hampshire,1306
2001,aec,America East Conference,124,Delaware,1174,Towson,1406
2001,aec,America East Conference,124,Hofstra,1220,Vermont,1436
2001,aec,America East Conference,124,Maine,1263,Boston Univ,1131
2001,aec,America East Conference,124,Northeastern,1318,Drexel,1180
2001,aec,America East Conference,125,Delaware,1174,Northeastern,1318
2001,aec,America East Conference,125,Hofstra,1220,Maine,1263
2001,aec,America East Conference,131,Hofstra,1220,Delaware,1174
2001,big_east,Big East Conference,128,Pittsburgh,1338,Miami FL,1274
2001,big_east,Big East Conference,128,Seton Hall,1371,St. John's,1385
2001,big_east,Big East Conference,128,Syracuse,1393,Connecticut,1163
2001,big_east,Big East Conference,128,Villanova,1437,West Virginia,1452
2001,big_east,Big East Conference,129,Boston College,1130,Villanova,1437
2001,big_east,Big East Conference,129,Pittsburgh,1338,Notre Dame,1323
2001,big_east,Big East Conference,129,Seton Hall,1371,Georgetown,1207
2001,big_east,Big East Conference,129,Syracuse,1393,Providence,1344
2001,big_east,Big East Conference,130,Boston College,1130,Seton Hall,1371
2001,big_east,Big East Conference,130,Pittsburgh,1338,Syracuse,1393
2001,big_east,Big East Conference,131,Boston College,1130,Pittsburgh,1338
2001,big_sky,Big Sky Conference,129,Northern Arizona,1319,Montana St.,1286
2001,big_sky,Big Sky Conference,129,Weber St.,1451,Idaho St.,1226
2001,big_sky,Big Sky Conference,130,CS Northridge,1169,Weber St.,1451
2001,big_sky,Big Sky Conference,130,E Washington,1186,Northern Arizona,1319
2001,big_sky,Big Sky Conference,131,CS Northridge,1169,E Washington,1186
2001,big_south,Big South Conference,122,Charleston So,1149,Coastal Car,1157
2001,big_south,Big South Conference,122,Liberty,1251,UNC Asheville,1421
2001,big_south,Big South Conference,123,Radford,1347,Charleston So,1149
2001,big_south,Big South Conference,123,Winthrop,1457,Liberty,1251
2001,big_south,Big South Conference,124,Winthrop,1457,Radford,1347
2001,big_ten,Big Ten Conference,129,Iowa,1234,Northwestern,1321
2001,big_ten,Big Ten Conference,129,Penn St.,1336,Michigan,1276
2001,big_ten,Big Ten Conference,129,Purdue,1345,Minnesota,1278
2001,big_ten,Big Ten Conference,130,Illinois,1228,Purdue,1345
2001,big_ten,Big Ten Conference,130,Indiana,1231,Wisconsin,1458
2001,big_ten,Big Ten Conference,130,Iowa,1234,Ohio St.,1326
2001,big_ten,Big Ten Conference,130,Penn St.,1336,Michigan St.,1277
2001,big_ten,Big Ten Conference,131,Indiana,1231,Illinois,1228
2001,big_ten,Big Ten Conference,131,Iowa,1234,Penn St.,1336
2001,big_ten,Big Ten Conference,132,Iowa,1234,Indiana,1231
2001,big_twelve,Big 12 Conference,129,Baylor,1124,Colorado,1160
2001,big_twelve,Big 12 Conference,129,Kansas St.,1243,Nebraska,1304
2001,big_twelve,Big 12 Conference,129,Missouri,1281,Texas A&M,1401
2001,big_twelve,Big 12 Conference,129,Oklahoma St.,1329,Texas Tech,1403
2001,big_twelve,Big 12 Conference,130,Baylor,1124,Iowa St.,1235
2001,big_twelve,Big 12 Conference,130,Kansas,1242,Kansas St.,1243
2001,big_twelve,Big 12 Conference,130,Oklahoma,1328,Missouri,1281
2001,big_twelve,Big 12 Conference,130,Texas,1400,Oklahoma St.,1329
2001,big_twelve,Big 12 Conference,131,Oklahoma,1328,Kansas,1242
2001,big_twelve,Big 12 Conference,131,Texas,1400,Baylor,1124
2001,big_twelve,Big 12 Conference,132,Oklahoma,1328,Texas,1400
2001,big_west,Big West Conference,129,Boise St.,1129,Long Beach St.,1253
2001,big_west,Big West Conference,129,Pacific,1334,UC Santa Barbara,1364
2001,big_west,Big West Conference,129,UC Irvine,1414,Cal Poly,1142
2001,big_west,Big West Conference,129,Utah St.,1429,CS Fullerton,1168
2001,big_west,Big West Conference,130,Pacific,1334,UC Irvine,1414
2001,big_west,Big West Conference,130,Utah St.,1429,Boise St.,1129
2001,big_west,Big West Conference,131,Utah St.,1429,Pacific,1334
2001,caa,Coastal Athletic Association,124,James Madison,1241,VCU,1433
2001,caa,Coastal Athletic Association,124,Old Dominion,1330,William & Mary,1456
2001,caa,Coastal Athletic Association,125,George Mason,1206,James Madison,1241
2001,caa,Coastal Athletic Association,125,UNC Wilmington,1423,Old Dominion,1330
2001,caa,Coastal Athletic Association,126,George Mason,1206,UNC Wilmington,1423
2001,cusa,Conference USA,128,Marquette,1266,Tulane,1408
2001,cusa,Conference USA,128,South Florida,1378,DePaul,1177
2001,cusa,Conference USA,128,Saint Louis,1387,Houston,1222
2001,cusa,Conference USA,128,UAB,1412,Louisville,1257
2001,cusa,Conference USA,129,Charlotte,1150,South Florida,1378
2001,cusa,Conference USA,129,Cincinnati,1153,UAB,1412
2001,cusa,Conference USA,129,Memphis,1272,Marquette,1266
2001,cusa,Conference USA,129,Southern Miss,1379,Saint Louis,1387
2001,cusa,Conference USA,130,Charlotte,1150,Southern Miss,1379
2001,cusa,Conference USA,130,Cincinnati,1153,Memphis,1272
2001,cusa,Conference USA,131,Charlotte,1150,Cincinnati,1153
2001,maac,Metro Atlantic Athletic Conference,123,Canisius,1145,Saint Peter's,1389
2001,maac,Metro Atlantic Athletic Conference,123,Loyola MD,1259,Fairfield,1193
2001,maac,Metro Atlantic Athletic Conference,124,Canisius,1145,Niagara,1310
2001,maac,Metro Atlantic Athletic Conference,124,Iona,1233,Loyola MD,1259
2001,maac,Metro Atlantic Athletic Conference,124,Marist,1265,Rider,1351
2001,maac,Metro Atlantic Athletic Conference,124,Siena,1373,Manhattan,1264
2001,maac,Metro Atlantic Athletic Conference,125,Canisius,1145,Siena,1373
2001,maac,Metro Atlantic Athletic Conference,125,Iona,1233,Marist,1265
2001,maac,Metro Atlantic Athletic Conference,126,Iona,1233,Canisius,1145
2001,mac,Mid-American Conference,126,Ball St.,1123,N Illinois,1296
2001,mac,Mid-American Conference,126,Bowling Green,1132,W Michigan,1444
2001,mac,Mid-American Conference,126,Miami OH,1275,Akron,1103
2001,mac,Mid-American Conference,126,Ohio,1325,Buffalo,1138
2001,mac,Mid-American Conference,126,Toledo,1405,E Michigan,1185
2001,mac,Mid-American Conference,129,Ball St.,1123,Marshall,1267
2001,mac,Mid-American Conference,129,Kent,1245,Bowling Green,1132
2001,mac,Mid-American Conference,129,Miami OH,1275,C Michigan,1141
2001,mac,Mid-American Conference,129,Ohio,1325,Toledo,1405
2001,mac,Mid-American Conference,130,Kent,1245,Ball St.,1123
2001,mac,Mid-American Conference,130,Miami OH,1275,Ohio,1325
2001,mac,Mid-American Conference,131,Kent,1245,Miami OH,1275
2001,meac,Mid-Eastern Athletic Conference,126,Morgan St.,1288,MD E Shore,1271
2001,meac,Mid-Eastern Athletic Conference,126,NC A&T,1299,Florida A&M,1197
2001,meac,Mid-Eastern Athletic Conference,127,Bethune-Cookman,1126,Howard,1224
2001,meac,Mid-Eastern Athletic Conference,128,Hampton,1214,Morgan St.,1288
2001,meac,Mid-Eastern Athletic Conference,128,S Carolina St.,1354,Bethune-Cookman,1126
2001,meac,Mid-Eastern Athletic Conference,129,NC A&T,1299,Delaware St.,1175
2001,meac,Mid-Eastern Athletic Conference,129,Norfolk St.,1313,Coppin St.,1164
2001,meac,Mid-Eastern Athletic Conference,130,Hampton,1214,Norfolk St.,1313
2001,meac,Mid-Eastern Athletic Conference,130,S Carolina St.,1354,NC A&T,1299
2001,meac,Mid-Eastern Athletic Conference,131,Hampton,1214,S Carolina St.,1354
2001,mid_cont,Mid-Continent Conference,125,IUPUI,1237,Missouri KC,1282
2001,mid_cont,Mid-Continent Conference,125,Oral Roberts,1331,Youngstown St.,1464
2001,mid_cont,Mid-Continent Conference,125,Southern Utah,1381,W Illinois,1442
2001,mid_cont,Mid-Continent Conference,125,Valparaiso,1434,Chicago St.,1152
2001,mid_cont,Mid-Continent Conference,126,Southern Utah,1381,Oral Roberts,1331
2001,mid_cont,Mid-Continent Conference,126,Valparaiso,1434,IUPUI,1237
2001,mid_cont,Mid-Continent Conference,127,Southern Utah,1381,Valparaiso,1434
2001,mvc,Missouri Valley Conference,123,Missouri St.,1283,Wichita St.,1455
2001,mvc,Missouri Valley Conference,123,Northern Iowa,1320,Drake,1179
2001,mvc,Missouri Valley Conference,124,Bradley,1133,Northern Iowa,1320
2001,mvc,Missouri Valley Conference,124,Creighton,1166,Missouri St.,1283
2001,mvc,Missouri Valley Conference,124,Illinois St.,1229,Evansville,1191
2001,mvc,Missouri Valley Conference,124,Indiana St.,1232,S Illinois,1356
2001,mvc,Missouri Valley Conference,125,Bradley,1133,Illinois St.,1229
2001,mvc,Missouri Valley Conference,125,Indiana St.,1232,Creighton,1166
2001,mvc,Missouri Valley Conference,126,Indiana St.,1232,Bradley,1133
2001,mw_coll,Midwestern Collegiate Conference,124,Butler,1139,Loyola-Chicago,1260
2001,mw_coll,Midwestern Collegiate Conference,124,Cleveland St.,1156,IL Chicago,1227
2001,mw_coll,Midwestern Collegiate Conference,124,Detroit,1178,WI Green Bay,1453
2001,mw_coll,Midwestern Collegiate Conference,124,Wright St.,1460,WI Milwaukee,1454
2001,mw_coll,Midwestern Collegiate Conference,125,Butler,1139,Wright St.,1460
2001,mw_coll,Midwestern Collegiate Conference,125,Detroit,1178,Cleveland St.,1156
2001,mw_coll,Midwestern Collegiate Conference,127,Butler,1139,Detroit,1178
2001,mwc,Mountain West Conference,129,BYU,1140,Air Force,1102
2001,mwc,Mountain West Conference,129,New Mexico,1307,Colorado St.,1161
2001,mwc,Mountain West Conference,129,Wyoming,1461,San Diego St.,1361
2001,mwc,Mountain West Conference,130,BYU,1140,Wyoming,1461
2001,mwc,Mountain West Conference,130,New Mexico,1307,Utah,1428
2001,mwc,Mountain West Conference,131,BYU,1140,New Mexico,1307
2001,nec,Northeast Conference,124,Monmouth NJ,1284,F Dickinson,1192
2001,nec,Northeast Conference,124,UMBC,1420,Central Conn,1148
2001,nec,Northeast Conference,124,Wagner,1447,LIU Brooklyn,1254
2001,nec,Northeast Conference,125,Monmouth NJ,1284,UMBC,1420
2001,nec,Northeast Conference,125,Saint Francis NY,1383,Wagner,1447
2001,nec,Northeast Conference,126,Monmouth NJ,1284,Saint Francis NY,1383
2001,ovc,Ohio Valley Conference,120,Austin Peay,1122,SE Missouri St.,1369
2001,ovc,Ohio Valley Conference,120,E Illinois,1183,Morehead St.,1287
2001,ovc,Ohio Valley Conference,120,Murray St.,1293,Tennessee St.,1398
2001,ovc,Ohio Valley Conference,120,Tennessee Tech,1399,TN Martin,1404
2001,ovc,Ohio Valley Conference,123,Austin Peay,1122,Tennessee Tech,1399
2001,ovc,Ohio Valley Conference,123,E Illinois,1183,Murray St.,1293
2001,ovc,Ohio Valley Conference,124,E Illinois,1183,Austin Peay,1122
2001,patriot,Patriot League,124,Bucknell,1137,Colgate,1159
2001,patriot,Patriot League,124,Lehigh,1250,Lafayette,1248
2001,patriot,Patriot League,124,Navy,1298,Army,1119
2001,patriot,Patriot League,125,Holy Cross,1221,Lehigh,1250
2001,patriot,Patriot League,125,Navy,1298,Bucknell,1137
2001,patriot,Patriot League,130,Holy Cross,1221,Navy,1298
2001,sec,Southeastern Conference,129,Alabama,1104,Vanderbilt,1435
2001,sec,Southeastern Conference,129,LSU,1261,Georgia,1208
2001,sec,Southeastern Conference,129,South Carolina,1376,Mississippi St.,1280
2001,sec,Southeastern Conference,129,Tennessee,1397,Auburn,1120
2001,sec,Southeastern Conference,130,Arkansas,1116,LSU,1261
2001,sec,Southeastern Conference,130,Florida,1196,Alabama,1104
2001,sec,Southeastern Conference,130,Kentucky,1246,South Carolina,1376
2001,sec,Southeastern Conference,130,Mississippi,1279,Tennessee,1397
2001,sec,Southeastern Conference,131,Kentucky,1246,Arkansas,1116
2001,sec,Southeastern Conference,131,Mississippi,1279,Florida,1196
2001,sec,Southeastern Conference,132,Kentucky,1246,Mississippi,1279
2001,southern,Southern Conference,122,Appalachian St.,1111,Furman,1202
2001,southern,Southern Conference,122,Davidson,1172,Wofford,1459
2001,southern,Southern Conference,122,Ga Southern,1204,VMI,1440
2001,southern,Southern Conference,122,W Carolina,1441,Citadel,1154
2001,southern,Southern Conference,123,Chattanooga,1151,Appalachian St.,1111
2001,southern,Southern Conference,123,Davidson,1172,Col Charleston,1158
2001,southern,Southern Conference,123,Ga Southern,1204,ETSU,1190
2001,southern,Southern Conference,123,UNC Greensboro,1422,W Carolina,1441
2001,southern,Southern Conference,124,Chattanooga,1151,Ga Southern,1204
2001,southern,Southern Conference,124,UNC Greensboro,1422,Davidson,1172
2001,southern,Southern Conference,125,UNC Greensboro,1422,Chattanooga,1151
2001,southland,Southland Conference,127,McNeese St.,1270,ULM,1419
2001,southland,Southland Conference,127,Northwestern LA,1322,Nicholls St.,1311
2001,southland,Southland Conference,127,Sam Houston St.,1358,UT Arlington,1426
2001,southland,Southland Conference,127,UT San Antonio,1427,Texas St.,1402
2001,southland,Southland Conference,130,McNeese St.,1270,Sam Houston St.,1358
2001,southland,Southland Conference,130,Northwestern LA,1322,UT San Antonio,1427
2001,southland,Southland Conference,131,Northwestern LA,1322,McNeese St.,1270
2001,sun_belt,Sun Belt Conference,123,Ark Little Rock,1114,North Texas,1317
2001,sun_belt,Sun Belt Conference,123,Florida Intl,1198,Denver,1176
2001,sun_belt,Sun Belt Conference,123,New Orleans,1309,MTSU,1292
2001,sun_belt,Sun Belt Conference,124,South Alabama,1375,Ark Little Rock,1114
2001,sun_belt,Sun Belt Conference,124,WKU,1443,Florida Intl,1198
2001,sun_belt,Sun Belt Conference,125,Arkansas St.,1117,New Orleans,1309
2001,sun_belt,Sun Belt Conference,125,Louisiana,1418,Louisiana Tech,1256
2001,sun_belt,Sun Belt Conference,126,South Alabama,1375,Arkansas St.,1117
2001,sun_belt,Sun Belt Conference,126,WKU,1443,Louisiana,1418
2001,sun_belt,Sun Belt Conference,127,WKU,1443,South Alabama,1375
2001,swac,Southwest Athletic Conference,127,Alabama St.,1106,Prairie View,1341
2001,swac,Southwest Athletic Conference,127,Alcorn St.,1108,Jackson St.,1238
2001,swac,Southwest Athletic Conference,127,Southern Univ,1380,Grambling,1212
2001,swac,Southwest Athletic Conference,127,TX Southern,1411,MS Valley St.,1290
2001,swac,Southwest Athletic Conference,130,Alabama St.,1106,Southern Univ,1380
2001,swac,Southwest Athletic Conference,130,Alcorn St.,1108,TX Southern,1411
2001,swac,Southwest Athletic Conference,131,Alabama St.,1106,Alcorn St.,1108
2001,wac,Western Athletic Conference,127,Rice,1349,Nevada,1305
2001,wac,Western Athletic Conference,129,Fresno St.,1201,Rice,1349
2001,wac,Western Athletic Conference,129,Hawaii,1218,TCU,1395
2001,wac,Western Athletic Conference,129,Tulsa,1409,San Jose St.,1363
2001,wac,Western Athletic Conference,129,UTEP,1431,SMU,1374
2001,wac,Western Athletic Conference,130,Hawaii,1218,Fresno St.,1201
2001,wac,Western Athletic Conference,130,Tulsa,1409,UTEP,1431
2001,wac,Western Athletic Conference,131,Hawaii,1218,Tulsa,1409
2001,wcc,West Coast Conference,124,Gonzaga,1211,Saint Mary's,1388
2001,wcc,West Coast Conference,124,Pepperdine,1337,Portland,1339
2001,wcc,West Coast Conference,124,San Diego,1360,San Francisco,1362
2001,wcc,West Coast Conference,124,Santa Clara,1365,Loy Marymount,1258
2001,wcc,West Coast Conference,125,Gonzaga,1211,San Diego,1360
2001,wcc,West Coast Conference,125,Santa Clara,1365,Pepperdine,1337
2001,wcc,West Coast Conference,126,Gonzaga,1211,Santa Clara,1365
2002,a_sun,Atlantic Sun Conference,122,FL Atlantic,1194,Jacksonville,1239
2002,a_sun,Atlantic Sun Conference,122,Georgia St.,1209,Belmont,1125
2002,a_sun,Atlantic Sun Conference,122,Jacksonville St.,1240,Troy,1407
2002,a_sun,Atlantic Sun Conference,122,UCF,1416,Samford,1359
2002,a_sun,Atlantic Sun Conference,123,FL Atlantic,1194,Jacksonville St.,1240
2002,a_sun,Atlantic Sun Conference,123,Georgia St.,1209,UCF,1416
2002,a_sun,Atlantic Sun Conference,124,FL Atlantic,1194,Georgia St.,1209
2002,a_ten,Atlantic 10 Conference,128,Dayton,1173,Rhode Island,1348
2002,a_ten,Atlantic 10 Conference,128,La Salle,1247,Fordham,1200
2002,a_ten,Atlantic 10 Conference,128,Massachusetts,1269,G Washington,1203
2002,a_ten,Atlantic 10 Conference,128,St. Bonaventure,1382,Duquesne,1182
2002,a_ten,Atlantic 10 Conference,129,Dayton,1173,Saint Joseph's,1386
2002,a_ten,Atlantic 10 Conference,129,La Salle,1247,Temple,1396
2002,a_ten,Atlantic 10 Conference,129,Richmond,1350,St. Bonaventure,1382
2002,a_ten,Atlantic 10 Conference,129,Xavier,1462,Massachusetts,1269
2002,a_ten,Atlantic 10 Conference,130,Richmond,1350,La Salle,1247
2002,a_ten,Atlantic 10 Conference,130,Xavier,1462,Dayton,1173
2002,a_ten,Atlantic 10 Conference,131,Xavier,1462,Richmond,1350
2002,acc,Atlantic Coast Conference,129,Florida St.,1199,Clemson,1155
2002,acc,Atlantic Coast Conference,130,Duke,1181,North Carolina,1314
2002,acc,Atlantic Coast Conference,130,Maryland,1268,Florida St.,1199
2002,acc,Atlantic Coast Conference,130,NC State,1301,Virginia,1438
2002,acc,Atlantic Coast Conference,130,Wake Forest,1448,Georgia Tech,1210
2002,acc,Atlantic Coast Conference,131,Duke,1181,Wake Forest,1448
2002,acc,Atlantic Coast Conference,131,NC State,1301,Maryland,1268
2002,acc,Atlantic Coast Conference,132,Duke,1181,NC State,1301
2002,aec,America East Conference,124,Boston Univ,1131,Northeastern,1318
2002,aec,America East Conference,124,Hartford,1216,SUNY Albany,1107
2002,aec,America East Conference,124,Maine,1263,New Hampshire,1306
2002,aec,America East Conference,124,Vermont,1436,Stony Brook,1392
2002,aec,America East Conference,125,Boston Univ,1131,Hartford,1216
2002,aec,America East Conference,125,Maine,1263,Vermont,1436
2002,aec,America East Conference,131,Boston Univ,1131,Maine,1263
2002,big_east,Big East Conference,128,Boston College,1130,Rutgers,1353
2002,big_east,Big East Conference,128,Georgetown,1207,Providence,1344
2002,big_east,Big East Conference,128,St. John's,1385,Seton Hall,1371
2002,big_east,Big East Conference,128,Villanova,1437,Syracuse,1393
2002,big_east,Big East Conference,129,Connecticut,1163,Villanova,1437
2002,big_east,Big East Conference,129,Miami FL,1274,Georgetown,1207
2002,big_east,Big East Conference,129,Notre Dame,1323,St. John's,1385
2002,big_east,Big East Conference,129,Pittsburgh,1338,Boston College,1130
2002,big_east,Big East Conference,130,Connecticut,1163,Notre Dame,1323
2002,big_east,Big East Conference,130,Pittsburgh,1338,Miami FL,1274
2002,big_east,Big East Conference,131,Connecticut,1163,Pittsburgh,1338
2002,big_sky,Big Sky Conference,129,Montana,1285,Northern Arizona,1319
2002,big_sky,Big Sky Conference,129,Weber St.,1451,Portland St.,1340
2002,big_sky,Big Sky Conference,130,E Washington,1186,Weber St.,1451
2002,big_sky,Big Sky Conference,130,Montana,1285,Montana St.,1286
2002,big_sky,Big Sky Conference,131,Montana,1285,E Washington,1186
2002,big_south,Big South Conference,122,Elon,1189,Charleston So,1149
2002,big_south,Big South Conference,122,High Point,1219,UNC Asheville,1421
2002,big_south,Big South Conference,122,Radford,1347,Coastal Car,1157
2002,big_south,Big South Conference,122,Winthrop,1457,Liberty,1251
2002,big_south,Big South Conference,123,High Point,1219,Radford,1347
2002,big_south,Big South Conference,123,Winthrop,1457,Elon,1189
2002,big_south,Big South Conference,124,Winthrop,1457,High Point,1219
2002,big_ten,Big Ten Conference,129,Iowa,1234,Purdue,1345
2002,big_ten,Big Ten Conference,129,Michigan,1276,Northwestern,1321
2002,big_ten,Big Ten Conference,129,Minnesota,1278,Penn St.,1336
2002,big_ten,Big Ten Conference,130,Illinois,1228,Minnesota,1278
2002,big_ten,Big Ten Conference,130,Indiana,1231,Michigan St.,1277
2002,big_ten,Big Ten Conference,130,Iowa,1234,Wisconsin,1458
2002,big_ten,Big Ten Conference,130,Ohio St.,1326,Michigan,1276
2002,big_ten,Big Ten Conference,131,Iowa,1234,Indiana,1231
2002,big_ten,Big Ten Conference,131,Ohio St.,1326,Illinois,1228
2002,big_ten,Big Ten Conference,132,Ohio St.,1326,Iowa,1234
2002,big_twelve,Big 12 Conference,129,Colorado,1160,Nebraska,1304
2002,big_twelve,Big 12 Conference,129,Kansas St.,1243,Baylor,1124
2002,big_twelve,Big 12 Conference,129,Missouri,1281,Iowa St.,1235
2002,big_twelve,Big 12 Conference,129,Texas Tech,1403,Texas A&M,1401
2002,big_twelve,Big 12 Conference,130,Kansas,1242,Colorado,1160
2002,big_twelve,Big 12 Conference,130,Oklahoma,1328,Kansas St.,1243
2002,big_twelve,Big 12 Conference,130,Texas,1400,Missouri,1281
2002,big_twelve,Big 12 Conference,130,Texas Tech,1403,Oklahoma St.,1329
2002,big_twelve,Big 12 Conference,131,Kansas,1242,Texas Tech,1403
2002,big_twelve,Big 12 Conference,131,Oklahoma,1328,Texas,1400
2002,big_twelve,Big 12 Conference,132,Oklahoma,1328,Kansas,1242
2002,big_west,Big West Conference,129,Pacific,1334,CS Northridge,1169
2002,big_west,Big West Conference,129,UC Santa Barbara,1364,Cal Poly,1142
2002,big_west,Big West Conference,129,UC Irvine,1414,Long Beach St.,1253
2002,big_west,Big West Conference,129,Utah St.,1429,Idaho,1225
2002,big_west,Big West Conference,130,UC Santa Barbara,1364,UC Irvine,1414
2002,big_west,Big West Conference,130,Utah St.,1429,Pacific,1334
2002,big_west,Big West Conference,131,UC Santa Barbara,1364,Utah St.,1429
2002,caa,Coastal Athletic Association,123,Hofstra,1220,Towson,1406
2002,caa,Coastal Athletic Association,123,James Madison,1241,William & Mary,1456
2002,caa,Coastal Athletic Association,124,Delaware,1174,Drexel,1180
2002,caa,Coastal Athletic Association,124,Hofstra,1220,George Mason,1206
2002,caa,Coastal Athletic Association,124,UNC Wilmington,1423,James Madison,1241
2002,caa,Coastal Athletic Association,124,VCU,1433,Old Dominion,1330
2002,caa,Coastal Athletic Association,125,UNC Wilmington,1423,Delaware,1174
2002,caa,Coastal Athletic Association,125,VCU,1433,Hofstra,1220
2002,caa,Coastal Athletic Association,126,UNC Wilmington,1423,VCU,1433
2002,cusa,Conference USA,128,Houston,1222,East Carolina,1187
2002,cusa,Conference USA,128,Louisville,1257,TCU,1395
2002,cusa,Conference USA,128,South Florida,1378,UAB,1412
2002,cusa,Conference USA,128,Tulane,1408,Saint Louis,1387
2002,cusa,Conference USA,129,Charlotte,1150,Tulane,1408
2002,cusa,Conference USA,129,Cincinnati,1153,South Florida,1378
2002,cusa,Conference USA,129,Houston,1222,Memphis,1272
2002,cusa,Conference USA,129,Marquette,1266,Louisville,1257
2002,cusa,Conference USA,130,Cincinnati,1153,Charlotte,1150
2002,cusa,Conference USA,130,Marquette,1266,Houston,1222
2002,cusa,Conference USA,131,Cincinnati,1153,Marquette,1266
2002,horizon,Horizon League,123,WI Green Bay,1453,Youngstown St.,1464
2002,horizon,Horizon League,124,Detroit,1178,Cleveland St.,1156
2002,horizon,Horizon League,124,IL Chicago,1227,WI Milwaukee,1454
2002,horizon,Horizon League,124,Loyola-Chicago,1260,Wright St.,1460
2002,horizon,Horizon League,124,WI Green Bay,1453,Butler,1139
2002,horizon,Horizon League,125,IL Chicago,1227,Detroit,1178
2002,horizon,Horizon League,125,Loyola-Chicago,1260,WI Green Bay,1453
2002,horizon,Horizon League,127,IL Chicago,1227,Loyola-Chicago,1260
2002,maac,Metro Atlantic Athletic Conference,123,Canisius,1145,Loyola MD,1259
2002,maac,Metro Atlantic Athletic Conference,123,Siena,1373,Saint Peter's,1389
2002,maac,Metro Atlantic Athletic Conference,124,Canisius,1145,Rider,1351
2002,maac,Metro Atlantic Athletic Conference,124,Fairfield,1193,Manhattan,1264
2002,maac,Metro Atlantic Athletic Conference,124,Niagara,1310,Iona,1233
2002,maac,Metro Atlantic Athletic Conference,124,Siena,1373,Marist,1265
2002,maac,Metro Atlantic Athletic Conference,125,Niagara,1310,Canisius,1145
2002,maac,Metro Atlantic Athletic Conference,125,Siena,1373,Fairfield,1193
2002,maac,Metro Atlantic Athletic Conference,126,Siena,1373,Niagara,1310
2002,mac,Mid-American Conference,126,Akron,1103,W Michigan,1444
2002,mac,Mid-American Conference,126,C Michigan,1141,Ohio,1325
2002,mac,Mid-American Conference,126,Marshall,1267,N Illinois,1296
2002,mac,Mid-American Conference,126,Miami OH,1275,Buffalo,1138
2002,mac,Mid-American Conference,126,Toledo,1405,E Michigan,1185
2002,mac,Mid-American Conference,129,Ball St.,1123,Miami OH,1275
2002,mac,Mid-American Conference,129,Bowling Green,1132,Akron,1103
2002,mac,Mid-American Conference,129,Kent,1245,Marshall,1267
2002,mac,Mid-American Conference,129,Toledo,1405,C Michigan,1141
2002,mac,Mid-American Conference,130,Bowling Green,1132,Ball St.,1123
2002,mac,Mid-American Conference,130,Kent,1245,Toledo,1405
2002,mac,Mid-American Conference,131,Kent,1245,Bowling Green,1132
2002,meac,Mid-Eastern Athletic Conference,126,Coppin St.,1164,Norfolk St.,1313
2002,meac,Mid-Eastern Athletic Conference,126,Morgan St.,1288,Florida A&M,1197
2002,meac,Mid-Eastern Athletic Conference,127,Bethune-Cookman,1126,MD E Shore,1271
2002,meac,Mid-Eastern Athletic Conference,128,Delaware St.,1175,Coppin St.,1164
2002,meac,Mid-Eastern Athletic Conference,128,Hampton,1214,Morgan St.,1288
